track_name,artist_name,popularity,danceability,energy,key,loudness,acousticness,liveness,duration_ms,stream_count,duration_minutes,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Weekly_Mean,social_media_mentions
Die With A Smile,Lady Gaga,100,-0.8463357958121901,-0.2789809327781702,6,-0.3000571539360243,0.216648779668591,-0.4427124412598778,251668,184839,4.194466666666667,16370.398690501472,15572.004925212956,14812.549283332604,14090.132730172936,13402.948848061078,12749.279319353647,12127.489629747624,11536.02498114321,10973.406403838717,10438.227058335951,9929.148717508688,9444.898420337791,8984.26528884562,8546.09750027036,8129.299406909165,7732.828796428201,11552.437499999998,7026
BIRDS OF A FEATHER,Billie Eilish,97,0.6486480486347357,-0.7597931085026401,2,-0.9325836084217488,-0.2055438370344338,-0.4808392705868472,210373,321831,3.5062166666666665,28503.1934871038,27113.076337170245,25790.756000650377,24532.925987937,23336.44106882392,22198.309407792207,21115.685082862965,20085.86096931005,19106.26197043815,18174.43857849976,17288.060749649903,16444.91207762286,15642.884251562033,14879.971784144636,14154.266996818764,13463.955249613362,20114.437500000004,10578
"Good Luck, Babe!",Chappell Roan,94,0.3377443287718791,-0.3355470710986962,11,0.1800182712104092,-0.7911406331651112,-0.7012123440967309,218424,284057,3.6404,25157.712067408807,23930.755971635943,22763.639230766286,21653.44344502369,20597.392546668645,19592.84585838291,18637.29149020077,17728.340058475736,16863.71871117683,16041.26544457466,15258.923697105942,14514.737206898391,13806.845120097058,13133.477337760416,12492.95008969101,11883.661724132922,17753.5625,7792
Taste,Sabrina Carpenter,94,0.1657550369328528,1.5028524243183956,3,0.6751538500350741,-0.5925537356788735,0.8917265851840543,157280,557113,2.6213333333333333,49341.11267460517,46934.718213689564,44645.6849955111,42468.28924472019,40397.086337785055,38426.89718859693,36552.79529805716,34770.09443526332,33074.336919491005,31461.28247367015,29926.89762148365,28467.34560157569,27078.976773649767,25758.31949246707,24502.071426924977,23307.091302509238,34819.5625,15008
Sailor Song,Gigi Perez,93,-1.024940060414257,-1.2915148087155837,11,-1.001543259474704,1.6786861745475852,0.098688535183089,211979,487659,3.532983333333333,43189.86931876529,41083.47453635015,39079.80983970209,37173.86502341716,35360.87423269233,33636.30404620605,31995.84214020361,30435.38650544158,28951.035190027997,27539.076542510247,26195.979930813133,24918.38691381963,23703.10284351877,22547.0888767216,21447.454376370333,20401.449683440074,30478.68750000001,14833
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",90,-0.4825122938450182,1.372750306181186,0,0.4183385978378627,0.4081991335431116,1.4331275616270212,197020,446853,3.2836666666666665,39575.85664306047,37645.719338701165,35809.71594146811,34063.25548653676,32401.97091307915,30821.708144337157,29318.5157002668,27888.634816779937,26528.490046876155,25234.680320162926,24003.97043840807,22833.28298585906,21719.690634100654,20660.40882220912,19652.788793899454,18694.31097425506,27928.3125,14886
That’s So True,Gracie Abrams,92,-0.6280416946318865,0.9428476549451894,1,0.6532241525737897,-0.1508151644988566,-0.1605739042403035,166300,449433,2.7716666666666665,39804.35619467833,37863.0748356853,36016.47088577639,34259.9268732238,32589.05052305322,30999.66377406861,29487.792331522916,28049.65572931111,26681.65787683576,25380.378066907426,24142.562422194893,22965.11575883701,21845.09384687081,20779.69604812301,19766.25831315581,18802.246519755656,28089.5625,12488
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",87,-0.952175360020822,0.9654741102733998,1,0.7015751722775856,0.1267373890744282,2.0126553673969574,255916,93381,4.265266666666666,8270.355282801345,7867.005296075564,7483.326920330027,7118.360759776232,6771.194208910411,6440.9591705244175,6126.8298850105375,5828.02086553235,5543.784933898491,5273.41135222799,5016.224045735363,4771.579912191492,4538.86721383308,4317.504047699601,4106.936890572794,3906.639214880311,5836.312500000001,2669
APT.,ROSÉ,98,0.8470972315259206,0.8014323091438745,0,0.5718464800668542,-0.8767519137743357,1.3339978053769004,169917,699160,2.83195,61921.60717408668,58901.65475636576,56028.98715603754,53296.42120779549,50697.12407343896,48224.59615621863,45872.65484845919,43635.41907181973,41507.29457153456,39482.95992786243,37557.35324976533,35725.65951754429,33983.29854278211,32325.913515486583,30749.360109796155,29249.69612100661,43697.50000000001,21769
Timeless (with Playboi Carti),The Weeknd,92,0.7941774494216046,0.4563788653886663,11,0.3055195518623386,-0.7590852678228444,-0.5265914657792107,256000,661650,4.266666666666667,58599.50710385956,55741.57541842984,53023.02670603616,50437.06317886876,47977.2185811415,45637.34202008418,43411.58258550693,41294.374719476975,39280.42429952492,37364.69540058095,35542.39770253909,33808.97451196176,32160.09136797269,30591.625203847045,29099.65403719696,27680.447162972745,41353.12500000001,19950
